	function 1	function 2	mean 1	mean 2	stdev 1	stdev 2	t-test	p-val	aggregation approach	run-date
0	c1	c3	1.9	0.875	1.1930353445448854	0.9270248108869579	3.391620926956999	0.0013345192408289398	selection_only	2024-04-15
1	c1	c2	1.9	1.1153846153846154	1.1930353445448854	1.0497956972273985	2.547406739032391	0.013733393753194037	selection_only	2024-04-15
2	c1	c4	1.9	1.12	1.1930353445448854	0.9927738916792685	2.555319848797705	0.013514873359970779	selection_only	2024-04-15
3	c1	c11	1.9	1.6666666666666667	1.1930353445448854	1.2084359562332878	0.6702095594832145	0.5058707256488351	selection_only	2024-04-15
4	c1	c10	1.9	1.12	1.1930353445448854	1.1771151175649728	2.3844034446814897	0.02071802087993963	selection_only	2024-04-15
5	c1	c8	1.9	1.6956521739130435	1.1930353445448854	1.2999927293674827	0.5830122053727125	0.5624543130092092	selection_only	2024-04-15
6	c1	c7	1.9	1.1	1.1930353445448854	1.1789826122551597	2.2866867232335877	0.02666654267837482	selection_only	2024-04-15
7	c1	c5	1.9	1.0416666666666667	1.1930353445448854	1.3063679505492403	2.4709981183342244	0.016787716558423833	selection_only	2024-04-15
8	c1	c9	1.9	1.1304347826086956	1.1930353445448854	0.9465887416120539	2.492214658196293	0.01598575164396076	selection_only	2024-04-15
9	c1	c6	1.9	1.5714285714285714	1.1930353445448854	1.178030178747903	0.8346551248565848	0.40863449405317687	selection_only	2024-04-15
10	c1	c13	1.9	1.7272727272727273	1.1930353445448854	0.8624393618641034	0.42901941861894544	0.6702697594238121	selection_only	2024-04-15
11	c1	c12	1.9	0.8	1.1930353445448854	0.9797958971132713	3.3555105016940407	0.0015553996265797807	selection_only	2024-04-15
12	c1	c15	1.9	1.0	1.1930353445448854	0.6324555320336759	1.6008746410918286	0.1189358102832062	selection_only	2024-04-15
13	c1	c14	1.9	0.42857142857142855	1.1930353445448854	0.4948716593053935	3.1118643061924973	0.003690069102068875	selection_only	2024-04-15
14	c3	c2	0.875	1.1153846153846154	0.9270248108869579	1.0497956972273985	-0.8381163549234939	0.4061195571302111	selection_only	2024-04-15
15	c3	c4	0.875	1.12	0.9270248108869579	0.9927738916792685	-0.8735974067206541	0.3867793727527623	selection_only	2024-04-15
16	c3	c11	0.875	1.6666666666666667	0.9270248108869579	1.2084359562332878	-2.425840222535159	0.019542607177663124	selection_only	2024-04-15
17	c3	c10	0.875	1.12	0.9270248108869579	1.1771151175649728	-0.7906194811841321	0.4331374802331809	selection_only	2024-04-15
18	c3	c8	0.875	1.6956521739130435	0.9270248108869579	1.2999927293674827	-2.4459486965731236	0.01842133076175984	selection_only	2024-04-15
19	c3	c7	0.875	1.1	0.9270248108869579	1.1789826122551597	-0.6920964618855956	0.4926854798087593	selection_only	2024-04-15
20	c3	c5	0.875	1.0416666666666667	0.9270248108869579	1.3063679505492403	-0.4989840829328106	0.6201685998946569	selection_only	2024-04-15
