	function 1	function 2	mean 1	mean 2	stdev 1	stdev 2	t-test	p-val	aggregation approach	run-date
0	c3	c2	1.0833333333333333	1.1851851851851851	0.759202798262025	1.0553930999092598	-0.3835310129690272	0.70298516127271	selection_only	2024-04-15
1	c3	c1	1.0833333333333333	0.8666666666666667	0.759202798262025	0.8459051693633014	0.9602311476348019	0.34138269297651125	selection_only	2024-04-15
2	c3	c5	1.0833333333333333	1.7916666666666667	0.759202798262025	0.956520023604083	-2.7817382192385627	0.007813258978847245	selection_only	2024-04-15
3	c3	c11	1.0833333333333333	1.2857142857142858	0.759202798262025	1.1605769149479943	-0.6843426436855007	0.4974308168954653	selection_only	2024-04-15
4	c3	c4	1.0833333333333333	1.68	0.759202798262025	1.3181805642627267	-1.8913942326047015	0.06474329240476474	selection_only	2024-04-15
5	c3	c15	1.0833333333333333	2.2	0.759202798262025	0.9797958971132712	-2.734335379900135	0.010900938952231338	selection_only	2024-04-15
6	c3	c9	1.0833333333333333	1.2608695652173914	0.759202798262025	1.0307190948808433	-0.6597741930709801	0.5127615627191253	selection_only	2024-04-15
7	c3	c7	1.0833333333333333	1.05	0.759202798262025	0.864580823289529	0.1329924930627033	0.8948344776055495	selection_only	2024-04-15
8	c3	c6	1.0833333333333333	1.4285714285714286	0.759202798262025	1.2936264483053455	-1.0090560179786192	0.31968218272744864	selection_only	2024-04-15
9	c3	c10	1.0833333333333333	1.28	0.759202798262025	1.0007996802557442	-0.7567133221053037	0.4529983416322154	selection_only	2024-04-15
10	c3	c8	1.0833333333333333	0.782608695652174	0.759202798262025	0.9304754156101173	1.1900968380623596	0.24024919284883842	selection_only	2024-04-15
11	c3	c12	1.0833333333333333	1.2105263157894737	0.759202798262025	1.1506953215302866	-0.4247367267477837	0.6732493442291461	selection_only	2024-04-15
12	c3	c14	1.0833333333333333	1.5714285714285714	0.759202798262025	0.9035079029052513	-1.3839819631835917	0.17692373834816183	selection_only	2024-04-15
13	c3	c13	1.0833333333333333	1.2727272727272727	0.759202798262025	1.052348809344566	-0.5858383647103695	0.5619697657452614	selection_only	2024-04-15
14	c2	c1	1.1851851851851851	0.8666666666666667	1.0553930999092598	0.8459051693633014	1.240354382532004	0.220109770200749	selection_only	2024-04-15
15	c2	c5	1.1851851851851851	1.7916666666666667	1.0553930999092598	0.956520023604083	-2.0978819163339884	0.04109548214711297	selection_only	2024-04-15
16	c2	c11	1.1851851851851851	1.2857142857142858	1.0553930999092598	1.1605769149479943	-0.3067501397425837	0.7604178584895318	selection_only	2024-04-15
17	c2	c4	1.1851851851851851	1.68	1.0553930999092598	1.3181805642627267	-1.4702549998308185	0.14775790434796707	selection_only	2024-04-15
18	c2	c15	1.1851851851851851	2.2	1.0553930999092598	0.9797958971132712	-1.9332498193614747	0.0626917565187054	selection_only	2024-04-15
19	c2	c9	1.1851851851851851	1.2608695652173914	1.0553930999092598	1.0307190948808433	-0.2502961318496695	0.8034265760826729	selection_only	2024-04-15
20	c2	c7	1.1851851851851851	1.05	1.0553930999092598	0.864580823289529	0.45810065527447114	0.649084693444435	selection_only	2024-04-15
21	c2	c6	1.1851851851851851	1.4285714285714286	1.0553930999092598	1.2936264483053455	-0.6309496070265658	0.5317539578952362	selection_only	2024-04-15
22	c2	c10	1.1851851851851851	1.28	1.0553930999092598	1.0007996802557442	-0.3253719874715891	0.7462572368970515	selection_only	2024-04-15
23	c2	c8	1.1851851851851851	0.782608695652174	1.0553930999092598	0.9304754156101173	1.3902752067275517	0.17085873819539701	selection_only	2024-04-15
24	c2	c12	1.1851851851851851	1.2105263157894737	1.0553930999092598	1.1506953215302866	-0.07553301664258184	0.9401330190032395	selection_only	2024-04-15
25	c2	c14	1.1851851851851851	1.5714285714285714	1.0553930999092598	0.9035079029052513	-0.8611059523837572	0.3955862645887509	selection_only	2024-04-15
26	c2	c13	1.1851851851851851	1.2727272727272727	1.0553930999092598	1.052348809344566	-0.22589724643461107	0.8225589673122395	selection_only	2024-04-15
27	c1	c5	0.8666666666666667	1.7916666666666667	0.8459051693633014	0.956520023604083	-3.6960927363939065	0.0005274934255960793	selection_only	2024-04-15
28	c1	c11	0.8666666666666667	1.2857142857142858	0.8459051693633014	1.1605769149479943	-1.4616374754157346	0.15022447030333633	selection_only	2024-04-15
29	c1	c4	0.8666666666666667	1.68	0.8459051693633014	1.3181805642627267	-2.7140081050033826	0.00894929873933211	selection_only	2024-04-15
30	c1	c15	0.8666666666666667	2.2	0.8459051693633014	0.9797958971132712	-3.0938897418282836	0.00400577697503185	selection_only	2024-04-15
31	c1	c9	0.8666666666666667	1.2608695652173914	0.8459051693633014	1.0307190948808433	-1.4992646903571047	0.13997014289207332	selection_only	2024-04-15
32	c1	c7	0.8666666666666667	1.05	0.8459051693633014	0.864580823289529	-0.7291259931992619	0.4694675312586164	selection_only	2024-04-15
33	c1	c6	0.8666666666666667	1.4285714285714286	0.8459051693633014	1.2936264483053455	-1.6791346558346312	0.10055155006291189	selection_only	2024-04-15
34	c1	c10	0.8666666666666667	1.28	0.8459051693633014	1.0007996802557442	-1.629408755984329	0.10915652729110398	selection_only	2024-04-15
35	c1	c8	0.8666666666666667	0.782608695652174	0.8459051693633014	0.9304754156101173	0.3367106703141701	0.737716674222421	selection_only	2024-04-15
36	c1	c12	0.8666666666666667	1.2105263157894737	0.8459051693633014	1.1506953215302866	-1.177503353754694	0.2449230279871692	selection_only	2024-04-15
