	function 1	function 2	mean 1	mean 2	stdev 1	stdev 2	t-test	p-val	aggregation approach	run-date
0	c1	c3	1.962962962962963	0.8695652173913043	1.1700421480689862	0.9465887416120541	3.518481079554473	0.0009607242080047851	selection_only	2024-04-10
1	c1	c2	1.962962962962963	0.9583333333333334	1.1700421480689862	0.9344858955002417	3.2937247340747393	0.0018405860439554393	selection_only	2024-04-10
2	c1	c4	1.962962962962963	1.12	1.1700421480689862	0.9927738916792685	2.7361689467527777	0.008581764929319235	selection_only	2024-04-10
3	c1	c11	1.962962962962963	1.5	1.1700421480689862	1.5	0.509795320882265	0.6143369438311408	selection_only	2024-04-10
4	c1	c10	1.962962962962963	0.5	1.1700421480689862	0.7071067811865476	3.2620264141374777	0.002573488712334218	selection_only	2024-04-10
5	c1	c8	1.962962962962963	1.6956521739130435	1.1700421480689862	1.2999927293674827	0.7494974108093965	0.45721517725752325	selection_only	2024-04-10
6	c1	c7	1.962962962962963	1.1	1.1700421480689862	1.1789826122551597	2.438276818789376	0.01876908905551853	selection_only	2024-04-10
7	c1	c5	1.962962962962963	1.0416666666666667	1.1700421480689862	1.3063679505492403	2.6041841766062737	0.01215623339539762	selection_only	2024-04-10
8	c1	c9	1.962962962962963	1.4	1.1700421480689862	0.9165151389911681	1.3358083665299352	0.19023361020267202	selection_only	2024-04-10
9	c1	c6	1.962962962962963	1.5714285714285714	1.1700421480689862	1.178030178747903	0.9886651705391135	0.3289214578636156	selection_only	2024-04-10
10	c1	c15	1.962962962962963	1.0	1.1700421480689862	0.0			selection_only	2024-04-10
11	c1	c13	1.962962962962963	1.0	1.1700421480689862	0.0			selection_only	2024-04-10
12	c1	c14	1.962962962962963	0.0	1.1700421480689862	0.0			selection_only	2024-04-10
13	c3	c2	0.8695652173913043	0.9583333333333334	0.9465887416120541	0.9344858955002417	-0.3165259908204265	0.7530669985964276	selection_only	2024-04-10
14	c3	c4	0.8695652173913043	1.12	0.9465887416120541	0.9927738916792685	-0.8739444617849425	0.38668839325857574	selection_only	2024-04-10
15	c3	c11	0.8695652173913043	1.5	0.9465887416120541	1.5	-0.8184665209325583	0.42149025994336886	selection_only	2024-04-10
16	c3	c10	0.8695652173913043	0.5	0.9465887416120541	0.7071067811865476	0.977403422989169	0.3364530502846098	selection_only	2024-04-10
17	c3	c8	0.8695652173913043	1.6956521739130435	0.9465887416120541	1.2999927293674827	-2.4094720491334938	0.020226363511972826	selection_only	2024-04-10
18	c3	c7	0.8695652173913043	1.1	0.9465887416120541	1.1789826122551597	-0.6936221598207848	0.4918304001671443	selection_only	2024-04-10
19	c3	c5	0.8695652173913043	1.0416666666666667	0.9465887416120541	1.3063679505492403	-0.5042400022779472	0.6165528294147622	selection_only	2024-04-10
20	c3	c9	0.8695652173913043	1.4	0.9465887416120541	0.9165151389911681	-1.4476237140765769	0.15776073251694298	selection_only	2024-04-10
21	c3	c6	0.8695652173913043	1.5714285714285714	0.9465887416120541	1.178030178747903	-1.935893452021848	0.0609906312353605	selection_only	2024-04-10
22	c3	c15	0.8695652173913043	1.0	0.9465887416120541	0.0			selection_only	2024-04-10
23	c3	c13	0.8695652173913043	1.0	0.9465887416120541	0.0			selection_only	2024-04-10
24	c3	c14	0.8695652173913043	0.0	0.9465887416120541	0.0			selection_only	2024-04-10
25	c2	c4	0.9583333333333334	1.12	0.9344858955002417	0.9927738916792685	-0.5743445620876161	0.5684735376349366	selection_only	2024-04-10
26	c2	c11	0.9583333333333334	1.5	0.9344858955002417	1.5	-0.7145896010104964	0.48175607686919275	selection_only	2024-04-10
27	c2	c10	0.9583333333333334	0.5	0.9344858955002417	0.7071067811865476	1.2308635349770611	0.22793722148803472	selection_only	2024-04-10
28	c2	c8	0.9583333333333334	1.6956521739130435	0.9344858955002417	1.2999927293674827	-2.191443731550843	0.03363688595570513	selection_only	2024-04-10
29	c2	c7	0.9583333333333334	1.1	0.9344858955002417	1.1789826122551597	-0.4342723461096125	0.6663136135346781	selection_only	2024-04-10
30	c2	c5	0.9583333333333334	1.0416666666666667	0.9344858955002417	1.3063679505492403	-0.24881955495633304	0.8046079647923567	selection_only	2024-04-10
31	c2	c9	0.9583333333333334	1.4	0.9344858955002417	0.9165151389911681	-1.2250958719532044	0.22948053675000915	selection_only	2024-04-10
32	c2	c6	0.9583333333333334	1.5714285714285714	0.9344858955002417	1.178030178747903	-1.7212214458685207	0.09379536320610218	selection_only	2024-04-10
33	c2	c15	0.9583333333333334	1.0	0.9344858955002417	0.0			selection_only	2024-04-10
34	c2	c13	0.9583333333333334	1.0	0.9344858955002417	0.0			selection_only	2024-04-10
35	c2	c14	0.9583333333333334	0.0	0.9344858955002417	0.0			selection_only	2024-04-10
36	c4	c11	1.12	1.5	0.9927738916792685	1.5	-0.47897400876267243	0.6361200543210419	selection_only	2024-04-10
37	c4	c10	1.12	0.5	0.9927738916792685	0.7071067811865476	1.5879764500856892	0.12244036117978928	selection_only	2024-04-10
38	c4	c8	1.12	1.6956521739130435	0.9927738916792685	1.2999927293674827	-1.695636664902853	0.09671405537892248	selection_only	2024-04-10
39	c4	c7	1.12	1.1	0.9927738916792685	1.1789826122551597	0.060368672687813166	0.9521417186179474	selection_only	2024-04-10
40	c4	c5	1.12	1.0416666666666667	0.9927738916792685	1.3063679505492403	0.23202069269093525	0.8175292412163464	selection_only	2024-04-10
41	c4	c9	1.12	1.4	0.9927738916792685	0.9165151389911681	-0.7478783550139048	0.4598302953549531	selection_only	2024-04-10
